ticker,tickertape_sid,tickertape_name,tickertape_slug,screener_slug,screener_name,screener_url,sector,status,verified_at
ADANIENT,ADEL,Adani Enterprises Limited,/stocks/adani-enterprises-ADEL,ADANIENT,Adani Enterprises Ltd,https://www.screener.in/company/ADANIENT/consolidated/,Industrials,ok,2026-08-20
ADANIPORTS,APSE,Adani Ports and Special Economic Zone Ltd,/stocks/adani-ports-and-special-economic-zone-APSE,ADANIPORTS,Adani Ports & Special Economic Zone Ltd,https://www.screener.in/company/ADANIPORTS/consolidated/,Industrials,ok,2026-08-20
APOLLOHOSP,APLH,Apollo Hospitals Enterprise Limited,/stocks/apollo-hospitals-enterprise-APLH,APOLLOHOSP,Apollo Hospitals Enterprise Ltd,https://www.screener.in/company/APOLLOHOSP/consolidated/,Health Care,ok,2026-08-20
ASIANPAINT,ASPN,Asian Paints Limited,/stocks/asian-paints-ASPN,ASIANPAINT,Asian Paints Ltd,https://www.screener.in/company/ASIANPAINT/consolidated/,Materials,ok,2026-08-20
AXISBANK,AXBK,Axis Bank Limited,/stocks/axis-bank-AXBK,AXISBANK,Axis Bank Ltd,https://www.screener.in/company/AXISBANK/consolidated/,Financials,ok,2026-08-20
BAJAJ-AUTO,BAJA,Bajaj Auto Ltd,/stocks/bajaj-auto-BAJA,BAJAJ-AUTO,Bajaj Auto Ltd,https://www.screener.in/company/BAJAJ-AUTO/consolidated/,Consumer Discretionary,ok,2026-08-20
BAJAJFINSV,BJFS,Bajaj Finserv Ltd,/stocks/bajaj-finserv-BJFS,BAJAJFINSV,Bajaj Finserv Ltd,https://www.screener.in/company/BAJAJFINSV/consolidated/,Financials,ok,2026-08-20
BAJFINANCE,BJFN,Bajaj Finance Ltd,/stocks/bajaj-finance-BJFN,BAJFINANCE,Bajaj Finance Ltd,https://www.screener.in/company/BAJFINANCE/consolidated/,Financials,ok,2026-08-20
BEL,BAJE,Bharat Electronics Ltd,/stocks/bharat-electronics-BAJE,BEL,Bharat Electronics Ltd,https://www.screener.in/company/BEL/consolidated/,Information Technology,ok,2026-08-20
BHARTIARTL,BRTI,Bharti Airtel Ltd,/stocks/bharti-airtel-BRTI,BHARTIARTL,Bharti Airtel Ltd,https://www.screener.in/company/BHARTIARTL/consolidated/,Communication Services,ok,2026-08-20
CIPLA,CIPL,Cipla Ltd,/stocks/cipla-CIPL,CIPLA,Cipla Ltd,https://www.screener.in/company/CIPLA/consolidated/,Health Care,ok,2026-08-20
COALINDIA,COAL,Coal India Limited,/stocks/coal-india-COAL,COALINDIA,Coal India Ltd,https://www.screener.in/company/COALINDIA/consolidated/,Materials,ok,2026-08-20
DRREDDY,REDY,Dr Reddy's Laboratories Ltd,/stocks/drreddys-laboratories-REDY,DRREDDY,Dr Reddys Laboratories Ltd,https://www.screener.in/company/DRREDDY/consolidated/,Health Care,ok,2026-08-20
EICHERMOT,EICH,Eicher Motors Ltd,/stocks/eicher-motors-EICH,EICHERMOT,Eicher Motors Ltd,https://www.screener.in/company/EICHERMOT/consolidated/,Industrials,ok,2026-08-20
ETERNAL,ZOM,Eternal Limited,/stocks/zomato-ZOM,ETERNAL,Eternal Ltd,https://www.screener.in/company/ETERNAL/consolidated/,Communication Services,ok,2026-08-20
GRASIM,GRAS,Grasim Industries Ltd,/stocks/grasim-industries-GRAS,GRASIM,Grasim Industries Ltd,https://www.screener.in/company/GRASIM/consolidated/,Materials,ok,2026-08-20
HCLTECH,HCLT,HCL Technologies Ltd,/stocks/hcl-technologies-HCLT,HCLTECH,HCL Technologies Ltd,https://www.screener.in/company/HCLTECH/consolidated/,Information Technology,ok,2026-08-20
HDFCBANK,HDBK,HDFC Bank Limited,/stocks/hdfc-bank-HDBK,HDFCBANK,HDFC Bank Ltd,https://www.screener.in/company/HDFCBANK/consolidated/,Financials,ok,2026-08-20
HDFCLIFE,HDFL,HDFC Life Insurance Company Ltd,/stocks/hdfc-life-insurance-company-HDFL,HDFCLIFE,HDFC Life Insurance Company Ltd,https://www.screener.in/company/HDFCLIFE/consolidated/,Financials,ok,2026-08-20
HINDALCO,HALC,Hindalco Industries Ltd,/stocks/hindalco-industries-HALC,HINDALCO,Hindalco Industries Ltd,https://www.screener.in/company/HINDALCO/consolidated/,Materials,ok,2026-08-20
HINDUNILVR,HLL,Hindustan Unilever Ltd,/stocks/hindustan-unilever-HLL,HINDUNILVR,Hindustan Unilever Ltd,https://www.screener.in/company/HINDUNILVR/consolidated/,Consumer Staples,ok,2026-08-20
ICICIBANK,ICBK,ICICI Bank Limited,/stocks/icici-bank-ICBK,ICICIBANK,ICICI Bank Ltd,https://www.screener.in/company/ICICIBANK/consolidated/,Financials,ok,2026-08-20
INDIGO,INGL,Interglobe Aviation Ltd,/stocks/interglobe-aviation-INGL,INDIGO,Interglobe Aviation Ltd,https://www.screener.in/company/INDIGO/consolidated/,Industrials,ok,2026-08-20
INFY,INFY,Infosys Limited,/stocks/infosys-INFY,INFY,Infosys Ltd,https://www.screener.in/company/INFY/consolidated/,Information Technology,ok,2026-08-20
ITC,ITC,ITC Ltd,/stocks/itc-ITC,ITC,ITC Ltd,https://www.screener.in/company/ITC/consolidated/,Consumer Staples,ok,2026-08-20
JIOFIN,JIO,Jio Financial Services Limited,/stocks/jio-financial-services-JIO,JIOFIN,Jio Financial Services Ltd,https://www.screener.in/company/JIOFIN/consolidated/,Financials,ok,2026-08-20
JSWSTEEL,JSTL,JSW Steel Limited,/stocks/jsw-steel-JSTL,JSWSTEEL,JSW Steel Ltd,https://www.screener.in/company/JSWSTEEL/consolidated/,Materials,ok,2026-08-20
KOTAKBANK,KTKM,Kotak Mahindra Bank Limited,/stocks/kotak-mahindra-bank-KTKM,KOTAKBANK,Kotak Mahindra Bank Ltd,https://www.screener.in/company/KOTAKBANK/consolidated/,Financials,ok,2026-08-20
LT,LART,Larsen & Toubro Ltd,/company/LT/consolidated/,LT,Larsen & Toubro Ltd,https://www.screener.in/company/LT/consolidated/,Equity,ok,2026-08-20
M&M,MAHM,Mahindra and Mahindra Ltd,/stocks/mahindra-and-mahindra-MAHM,M&M,Mahindra & Mahindra Ltd,https://www.screener.in/company/M&M/consolidated/,Consumer Discretionary,ok,2026-08-20
